po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location
PO100068,2024-03-30,SUP1026,Equipment Supplier 8 (NIG),MAT2048,Equipment Item 10,Equipment,759,123234.32,93534848.05,,NGN,2024-06-22,2024-07-07,Delivered,Paid,John Obi,Lagos
PO100069,2025-08-30,SUP1027,Equipment Supplier 9 (IND),MAT2044,Equipment Item 6,Equipment,553,321554.39,177819580.23,174671.67,USD,2025-11-28,2025-11-28,Delivered,Overdue,Sarah Ahmed,Kano
PO100070,2025-02-05,SUP1005,Raw Materials Supplier 6 (NIG),MAT2014,Raw Materials Item 15,Raw Materials,489,154028.86,75320112.76,,NGN,2025-03-08,2025-03-08,Delivered,Overdue,Chidi Eze,Ibadan
PO100071,2024-05-27,SUP1038,Services Supplier 11 (CHI),MAT2064,Services Item 11,Services,24,383476.04,9203424.85,10238.87,USD,2024-07-04,2024-07-15,Delivered,Pending,John Obi,Kano
PO100072,2024-10-21,SUP1032,Services Supplier 5 (NIG),MAT2057,Services Item 4,Services,35,236226.95,8267943.16,,NGN,2024-11-02,2024-11-17,Delivered,Paid,Chidi Eze,Lagos
PO100073,2025-12-06,SUP1037,Services Supplier 10 (NIG),MAT2060,Services Item 7,Services,941,200269.94,188454009.51,,NGN,2026-02-22,2026-02-24,Delivered,Paid,Sarah Ahmed,Ibadan
PO100074,2024-06-22,SUP1006,Raw Materials Supplier 7 (NIG),MAT2011,Raw Materials Item 12,Raw Materials,250,213836.23,53459056.95,,NGN,2024-08-20,2024-08-20,Delivered,Overdue,Chidi Eze,Kano
PO100075,2024-08-01,SUP1039,Services Supplier 12 (IND),MAT2066,Services Item 13,Services,680,388000.42,263840286.51,221439.56,USD,2024-10-07,2024-10-19,Partial,Pending,John Obi,Ibadan
PO100076,2025-05-25,SUP1009,Packaging Supplier 2 (CHI),MAT2024,Packaging Item 4,Packaging,885,210749.04,186512899.89,117692.9,USD,2025-08-11,2025-08-28,Delivered,Pending,John Obi,Lagos
PO100077,2025-06-04,SUP1004,Raw Materials Supplier 5 (NIG),MAT2011,Raw Materials Item 12,Raw Materials,688,165907.99,114144698.1,,NGN,2025-08-02,2025-07-29,Delivered,Pending,John Obi,Lagos
PO100078,2025-09-25,SUP1012,Packaging Supplier 5 (USA),MAT2026,Packaging Item 6,Packaging,80,572490.44,45799234.91,36834.87,USD,2025-12-15,2025-12-24,Delivered,Paid,Chidi Eze,Lagos
PO100079,2024-12-04,SUP1017,Packaging Supplier 10 (IND),MAT2023,Packaging Item 3,Packaging,143,493913.23,70629591.83,49088.86,USD,2025-02-07,2025-02-07,Delivered,Paid,John Obi,Ibadan
PO100080,2024-10-25,SUP1023,Equipment Supplier 5 (IND),MAT2047,Equipment Item 9,Equipment,26,121952.69,3170769.94,3766.12,USD,2024-11-14,2024-12-12,Delivered,Paid,Sarah Ahmed,Ibadan
PO100081,2025-03-01,SUP1005,Raw Materials Supplier 6 (NIG),MAT2019,Raw Materials Item 20,Raw Materials,472,509483.27,240476103.68,,NGN,2025-04-07,2025-04-04,Delivered,Pending,Sarah Ahmed,Kano
PO100082,2024-03-27,SUP1004,Raw Materials Supplier 5 (NIG),MAT2007,Raw Materials Item 8,Raw Materials,500,397877.11,198938557.12,,NGN,2024-04-30,2024-05-01,Delivered,Overdue,John Obi,Lagos
PO100083,2025-01-19,SUP1010,Packaging Supplier 3 (NIG),MAT2029,Packaging Item 9,Packaging,77,26034.0,2004617.63,,NGN,2025-04-01,2025-05-01,Delivered,Overdue,Chidi Eze,Kano
PO100084,2024-12-22,SUP1037,Services Supplier 10 (NIG),MAT2060,Services Item 7,Services,527,193491.67,101970111.53,,NGN,2025-03-10,2025-03-10,Delivered,Paid,Sarah Ahmed,Ibadan
PO100085,2024-10-15,SUP1030,Services Supplier 3 (CHI),MAT2066,Services Item 13,Services,357,515075.88,183882089.57,164329.49,USD,2024-12-21,2025-01-05,Delivered,Pending,Sarah Ahmed,Lagos
PO100086,2026-01-28,SUP1032,Services Supplier 5 (NIG),MAT2062,Services Item 9,Services,78,383292.13,29896786.32,,NGN,2026-02-26,,Pending,Pending,Sarah Ahmed,Lagos
PO100087,2025-03-12,SUP1013,Packaging Supplier 6 (NIG),MAT2028,Packaging Item 8,Packaging,579,255465.1,147914293.19,,NGN,2025-05-22,2025-06-21,Delivered,Paid,Sarah Ahmed,Ibadan
PO100088,2026-01-06,SUP1030,Services Supplier 3 (CHI),MAT2070,Services Item 17,Services,898,200047.18,179642367.46,213565.83,USD,2026-01-21,2026-01-21,Delivered,Paid,Chidi Eze,Kano
PO100089,2024-09-29,SUP1013,Packaging Supplier 6 (NIG),MAT2038,Packaging Item 18,Packaging,682,165223.34,112682316.71,,NGN,2024-10-15,2024-11-01,Delivered,Pending,John Obi,Ibadan
PO100090,2025-10-04,SUP1015,Packaging Supplier 8 (NIG),MAT2032,Packaging Item 12,Packaging,836,61690.36,51573137.34,,NGN,2025-12-22,2026-01-21,Partial,Pending,John Obi,Lagos
PO100091,2024-11-30,SUP1026,Equipment Supplier 8 (NIG),MAT2046,Equipment Item 8,Equipment,953,459356.69,437766927.69,,NGN,2024-12-20,2024-12-20,Delivered,Overdue,John Obi,Lagos
PO100092,2025-12-04,SUP1005,Raw Materials Supplier 6 (NIG),MAT2013,Raw Materials Item 14,Raw Materials,103,35344.57,3640490.57,,NGN,2026-01-23,2026-01-23,Delivered,Pending,John Obi,Ibadan
PO100093,2025-01-09,SUP1021,Equipment Supplier 3 (NIG),MAT2040,Equipment Item 2,Equipment,805,45497.8,36625725.48,,NGN,2025-02-12,2025-02-10,Delivered,Paid,Chidi Eze,Lagos
PO100094,2024-11-29,SUP1031,Services Supplier 4 (NIG),MAT2067,Services Item 14,Services,687,102150.88,70177654.54,,NGN,2025-02-02,2025-02-23,Delivered,Paid,Sarah Ahmed,Ibadan
PO100095,2024-06-17,SUP1020,Equipment Supplier 2 (CHI),MAT2044,Equipment Item 6,Equipment,704,343183.77,241601372.99,203144.8,USD,2024-09-15,2024-09-12,Delivered,Paid,John Obi,Lagos
PO100096,2024-12-29,SUP1018,Packaging Supplier 11 (IND),MAT2024,Packaging Item 4,Packaging,795,191649.51,152361361.03,151691.55,USD,2025-03-17,2025-03-12,Delivered,Overdue,John Obi,Lagos
PO100097,2025-03-20,SUP1017,Packaging Supplier 10 (IND),MAT2025,Packaging Item 5,Packaging,522,83540.03,43607896.41,32678.83,USD,2025-05-03,2025-05-23,Delivered,Paid,Sarah Ahmed,Lagos
PO100098,2025-06-09,SUP1004,Raw Materials Supplier 5 (NIG),MAT2016,Raw Materials Item 17,Raw Materials,892,225845.08,201453815.78,,NGN,2025-06-25,2025-07-15,Delivered,Overdue,Sarah Ahmed,Lagos
PO100099,2025-04-14,SUP1006,Raw Materials Supplier 7 (NIG),MAT2001,Raw Materials Item 2,Raw Materials,999,59717.12,59657399.88,,NGN,2025-05-19,2025-06-12,Delivered,Pending,John Obi,Ibadan
PO100100,2024-06-12,SUP1008,Packaging Supplier 1 (CHI),MAT2036,Packaging Item 16,Packaging,456,129965.81,59264408.81,48610.45,USD,2024-08-08,2024-08-22,Delivered,Paid,Sarah Ahmed,Lagos
PO100101,2024-05-13,SUP1004,Raw Materials Supplier 5 (NIG),MAT2001,Raw Materials Item 2,Raw Materials,553,64231.28,35519896.65,,NGN,2024-06-17,2024-07-04,Delivered,Paid,John Obi,Lagos
PO100102,2024-07-23,SUP1025,Equipment Supplier 7 (GER),MAT2050,Equipment Item 12,Equipment,212,232563.8,49303526.53,53457.39,USD,2024-08-31,2024-08-30,Delivered,Overdue,Sarah Ahmed,Kano
PO100103,2025-10-10,SUP1036,Services Supplier 9 (NIG),MAT2056,Services Item 3,Services,707,509062.66,359907299.12,,NGN,2025-12-30,2026-01-14,Delivered,Pending,John Obi,Ibadan
PO100104,2024-05-04,SUP1039,Services Supplier 12 (IND),MAT2057,Services Item 4,Services,462,237245.88,109607597.54,76271.91,USD,2024-05-16,2024-06-02,Delivered,Pending,Sarah Ahmed,Ibadan
PO100105,2024-04-03,SUP1001,Raw Materials Supplier 2 (UK),MAT2008,Raw Materials Item 9,Raw Materials,387,427910.42,165601330.79,192250.12,USD,2024-06-22,2024-06-22,Delivered,Overdue,Sarah Ahmed,Kano
PO100106,2025-09-14,SUP1007,Raw Materials Supplier 8 (USA),MAT2010,Raw Materials Item 11,Raw Materials,470,116033.9,54535934.47,43374.56,USD,2025-10-03,2025-10-03,Delivered,Paid,John Obi,Ibadan
PO100107,2024-06-09,SUP1020,Equipment Supplier 2 (CHI),MAT2048,Equipment Item 10,Equipment,741,120662.89,89411201.9,67895.12,USD,2024-09-01,2024-09-01,Delivered,Overdue,Chidi Eze,Kano
PO100108,2025-11-10,SUP1008,Packaging Supplier 1 (CHI),MAT2028,Packaging Item 8,Packaging,382,292045.57,111561406.43,108700.96,USD,2026-01-20,2026-02-05,Delivered,Paid,Chidi Eze,Kano
PO100109,2025-02-01,SUP1001,Raw Materials Supplier 2 (UK),MAT2011,Raw Materials Item 12,Raw Materials,347,157559.74,54673228.16,40718.77,USD,2025-04-01,2025-04-01,Delivered,Paid,Sarah Ahmed,Lagos
PO100110,2025-10-13,SUP1010,Packaging Supplier 3 (NIG),MAT2029,Packaging Item 9,Packaging,948,28620.16,27131915.46,,NGN,2025-12-24,2026-01-13,Delivered,Paid,Sarah Ahmed,Kano
PO100111,2025-03-16,SUP1027,Equipment Supplier 9 (IND),MAT2039,Equipment Item 1,Equipment,842,280039.43,235793201.04,173089.12,USD,2025-06-03,2025-07-01,Delivered,Overdue,Chidi Eze,Ibadan
PO100112,2024-03-14,SUP1027,Equipment Supplier 9 (IND),MAT2052,Equipment Item 14,Equipment,326,20767.04,6770056.35,6969.71,USD,2024-05-02,2024-05-28,Delivered,Paid,John Obi,Lagos
PO100113,2024-12-23,SUP1006,Raw Materials Supplier 7 (NIG),MAT2006,Raw Materials Item 7,Raw Materials,529,41576.94,21994202.38,,NGN,2025-01-29,2025-02-26,Partial,Pending,Chidi Eze,Lagos
PO100114,2025-10-28,SUP1038,Services Supplier 11 (CHI),MAT2061,Services Item 8,Services,167,445493.17,74397359.17,50780.54,USD,2025-11-23,2025-11-28,Delivered,Paid,Sarah Ahmed,Ibadan
PO100115,2026-01-17,SUP1012,Packaging Supplier 5 (USA),MAT2026,Packaging Item 6,Packaging,464,530016.5,245927657.37,175422.92,USD,2026-04-08,,Pending,Pending,Chidi Eze,Lagos
PO100116,2025-01-06,SUP1031,Services Supplier 4 (NIG),MAT2054,Services Item 1,Services,935,326872.74,305626007.75,,NGN,2025-03-08,2025-03-31,Delivered,Pending,Sarah Ahmed,Kano
PO100117,2025-08-18,SUP1029,Services Supplier 2 (NIG),MAT2061,Services Item 8,Services,999,445456.35,445010892.74,,NGN,2025-09-13,2025-09-13,Delivered,Pending,John Obi,Kano
PO100118,2025-07-01,SUP1020,Equipment Supplier 2 (CHI),MAT2044,Equipment Item 6,Equipment,577,374497.96,216085324.44,157827.8,USD,2025-09-29,2025-10-01,Delivered,Paid,Sarah Ahmed,Ibadan
PO100119,2025-08-03,SUP1010,Packaging Supplier 3 (NIG),MAT2034,Packaging Item 14,Packaging,860,215148.12,185027380.94,,NGN,2025-10-23,2025-11-01,Delivered,Pending,John Obi,Ibadan
PO100120,2024-04-19,SUP1030,Services Supplier 3 (CHI),MAT2059,Services Item 6,Services,524,105389.43,55224062.64,49799.28,USD,2024-05-27,2024-05-27,Delivered,Pending,John Obi,Kano
PO100121,2025-12-21,SUP1021,Equipment Supplier 3 (NIG),MAT2044,Equipment Item 6,Equipment,820,278006.45,227965288.46,,NGN,2026-03-21,,Pending,Pending,Sarah Ahmed,Kano
PO100122,2024-07-16,SUP1036,Services Supplier 9 (NIG),MAT2058,Services Item 5,Services,469,200202.64,93895039.11,,NGN,2024-07-28,2024-07-24,Delivered,Paid,Chidi Eze,Kano
PO100123,2025-11-09,SUP1029,Services Supplier 2 (NIG),MAT2067,Services Item 14,Services,123,116263.48,14300408.49,,NGN,2026-01-13,2026-01-13,Delivered,Paid,Sarah Ahmed,Kano
PO100124,2025-11-23,SUP1037,Services Supplier 10 (NIG),MAT2059,Services Item 6,Services,74,94293.49,6977718.1,,NGN,2025-12-31,2026-01-29,Partial,Paid,Chidi Eze,Lagos
PO100125,2024-12-19,SUP1029,Services Supplier 2 (NIG),MAT2068,Services Item 15,Services,11,167613.7,1843750.74,,NGN,2025-01-24,2025-01-24,Delivered,Paid,Chidi Eze,Ibadan
PO100126,2024-05-04,SUP1005,Raw Materials Supplier 6 (NIG),MAT2019,Raw Materials Item 20,Raw Materials,409,581092.98,237667028.69,,NGN,2024-06-10,2024-06-10,Delivered,Pending,Sarah Ahmed,Kano
